question,option_a,option_b,option_c,option_d,correct,category,difficulty
"Co znamená zkratka ""NPC"" v internetovém slangu?",Nová Prodejní Cena,Non-Player Character,Nikdy Plně Coolová,Network Protocol Core,B,internet,lehká
"Která platforma proslavila krátká vertikální videa a zvuk ""oh no""?",YouTube,Facebook,TikTok,LinkedIn,C,internet,lehká
"Co znamená ""IYKYK""?",If You Know You Know,Vtip jen pro zasvěcené,Is Your Key Kept,It's Your Kall Kid,A,slang,lehká
"Kdo nazpíval hit ""Blinding Lights""?",Dua Lipa,The Weeknd,Post Malone,Ed Sheeran,B,hudba,střední
"Jak se jmenuje maskot hry Among Us, co ho hráči zabíjejí?",Impostor,Crewmate,Ghost,Alien,B,gaming,lehká
"Co znamená pojem ""main character energy""?",Být hlavní hrdina svého příběhu,Být vedlejší postava,Mít hlavní roli ve filmu,Hrát hlavní postavu ve hře,A,slang,střední
"Který streamovací seriál popularizoval slovo ""upside down""?",Wednesday,Stranger Things,The Boys,Euphoria,B,seriály,lehká
"Co je to ""rizz""?",Rychlost internetu,Schopnost okouzlit někoho,Typ hudebního žánru,Zkratka pro rizoto,B,slang,lehká
"Jak se jmenuje virtuální měna používaná v Robloxu?",Robux,Coinz,V-Bucks,Gems,A,gaming,lehká
"Kdo je považován za ""královnu popu"" mezi Gen Z díky albu ""SOUR""?",Billie Eilish,Olivia Rodrigo,Ariana Grande,Doja Cat,B,hudba,střední
"Co znamená zkratka ""FOMO""?",Fear Of Missing Out,Fun Of My Own,Focus On My Outfit,Fully Out My Order,A,slang,lehká
"Která sociální síť má logo ducha jako panda... vlastně ne, jaké zvíře má na logu Snapchat?",Panda,Duch,Sova,Lev,B,internet,lehká
"Jaký formát videa proslavil kanál BeReal?",Filtrované selfie jednou denně,Live streamy,24hodinové story,Krátká hudební videa,A,internet,střední
"Kdo hraje hlavní roli Wednesday Addams v seriálu Wednesday?",Millie Bobby Brown,Jenna Ortega,Sadie Sink,Sydney Sweeney,B,seriály,lehká
"Co znamená ""ghosting""?",Náhlé přerušení komunikace bez vysvětlení,Focení v noci,Hraní horrorové hry,Sledování duchařských videí,A,slang,lehká
"Který umělec stojí za písní ""Flowers""?",Miley Cyrus,Taylor Swift,Selena Gomez,SZA,A,hudba,lehká
"Co je to ""cap"" v internetovém slangu?",Pravda,Lež,Čepice,Skvělá věc,B,slang,lehká
"Jak se jmenuje battle royale hra od Epic Games?",Valorant,Apex Legends,Fortnite,PUBG,C,gaming,lehká
"Který film z roku 2023 s Ryanem Goslingem se stal virálním hitem díky Ken se soundtrackem?",Barbie,Oppenheimer,Wonka,Dune,A,filmy,lehká
"Co znamená zkratka ""ATP"" v chatu (ne biochemie)?",At This Point,All Time Popular,Always Team Player,Answer The Prompt,A,slang,střední
"Kdo je tvůrcem virálního tanečku ""Renegade""?",Charli D'Amelio,Jalaiah Harmon,Addison Rae,Bella Poarch,B,internet,těžká
"Která aplikace je známá zmizejícími zprávami a streaky?",WhatsApp,Snapchat,Telegram,Signal,B,internet,lehká
"Co znamená ""slay""?",Udělat něco skvěle,Prohrát,Být unavený,Smát se,A,slang,lehká
"Kdo nazpíval song ""As It Was""?",Harry Styles,Shawn Mendes,Charlie Puth,Niall Horan,A,hudba,lehká
"Jak se jmenuje hlavní hrdinka seriálu Euphoria hraná Zendayou?",Maddy,Cassie,Rue,Kat,C,seriály,střední
"Co znamená zkratka ""GOAT""?",Greatest Of All Time,Game Of All Trends,Go Out And Talk,Great Original Amazing Talent,A,slang,lehká
"Která hra proslavila frázi ""Among us is sus""?",Fall Guys,Among Us,Minecraft,Roblox,B,gaming,lehká
"Kdo hraje Petera Parkera/Spider-Mana v posledních marvelovkách?",Tom Holland,Andrew Garfield,Tobey Maguire,Timothée Chalamet,A,filmy,lehká
"Co znamená ""delulu""?",Delikátní,Zamilovaný do fantazie/přeludu,Chytrý,Deprimovaný,B,slang,střední
"Kdo je zpěvačka za hitem ""Vampire""?",Olivia Rodrigo,Gracie Abrams,Chappell Roan,Sabrina Carpenter,A,hudba,střední
"Co znamená ""no cap fr fr""?",Bez legrace - opravdu vážně,Bez čepice - je zima,Nekřič prosím,Bez peněz doopravdy,A,slang,střední
"Jaké je jméno oblíbeného mema se žabákem?",Pepe,Doge,Grumpy Cat,Wojak,A,internet,lehká
"Který seriál sleduje superhrdiny na Vought International?",Invincible,The Boys,Peacemaker,Watchmen,B,seriály,střední
"Co znamená zkratka ""BRB""?",Be Right Back,Bring Real Bread,Big Red Button,Better Run Bro,A,slang,lehká
"Kdo napsal a nazpíval ""Anti-Hero""?",Taylor Swift,Lana Del Rey,Billie Eilish,Halsey,A,hudba,lehká
"Co znamená ""touch grass""?",Jít ven a odpočinout si od telefonu,Hrát zahradní hry,Sekat trávu,Sportovat venku,A,slang,střední
"Který YouTuber je známý sérií výzev a charitativních videí s obřím rozpočtem?",PewDiePie,MrBeast,KSI,Markiplier,B,internet,lehká
"Jak se jmenuje hlavní záporák v Minecraftu, co exploduje?",Zombie,Creeper,Enderman,Skeleton,B,gaming,lehká
"Co znamená ""era"" ve větě jako ""my villain era""?",Životní fáze/období,Chybová hláška,Historická éra,Emoce,A,slang,střední
"Kdo hraje hlavní roli v seriálu Wednesday po boku Jenny Ortegy jako Enid?",Emma Myers,Gwendoline Christie,Catherine Zeta-Jones,Christina Ricci,A,seriály,těžká
