id,pismeno,otazka,odpoved,alt_odpovedi,kategorie,obtiznost,trvanlivost
AZ-001,A,"Jak se slangově říká vyzařování a charismatu, které můžeš sbírat i ztrácet?",Aura,auru,Slang,1,evergreen
AZ-002,A,Jakou dvoupísmennou zkratkou se běžně označuje umělá inteligence?,AI,A.I.|ej aj,Tech a AI,1,evergreen
AZ-003,A,Jak se souhrnně říká japonskému animovanému filmu a seriálu?,Anime,animé,Film a seriály,1,evergreen
AZ-004,A,Jak se jmenuje hlasová asistentka od Amazonu?,Alexa,,Tech a AI,2,evergreen
AZ-005,A,"Jaký operační systém má většina mobilů, které nejsou od Applu?",Android,,Tech a AI,1,evergreen
AZ-006,A,Jak se odborně říká chorobnému strachu z pavouků?,Arachnofobie,arachnofobia,Všeobecné,2,evergreen
AZ-007,B,"Jak se říká stavu, kdy máš mozek rozložený z nekonečného scrollování nesmyslných videí?",Brainrot,brain rot|brejnrot,Slang,1,evergreen
AZ-008,B,Jakým anglickým slovem Gen Z označuje nejlepší kamarádku?,Bestie,besti,Slang,1,evergreen
AZ-009,B,"Která aplikace tě jednou denně vyzve, ať vyfotíš, co zrovna děláš, přední i zadní kamerou najednou?",BeReal,be real|bíryl,Sítě a appky,2,sezónní
AZ-010,B,Jak se jmenuje první a dodnes nejznámější kryptoměna?,Bitcoin,bitkoin|BTC,Tech a AI,1,evergreen
AZ-011,B,Která nezávislá karetní hra postavená na pokerových kombinacích posbírala v roce 2024 herní ceny?,Balatro,,Hry,3,evergreen
AZ-012,B,"Křestní jméno americké zpěvačky, která má nejvíc cen Grammy v historii?",Beyoncé,beyonce|bejonsé,Hudba,2,sezónní
AZ-013,C,"Jak se jedním slovem řekne, že je něco tak trapné, až se u toho kroutíš?",Cringe,krindž|krinž,Slang,1,evergreen
AZ-014,C,"Jak se říká převlékání za postavy z her, anime nebo filmů?",Cosplay,kosplej,Hry,2,evergreen
AZ-015,C,"Kam se ukládají data, když nejsou v tvém zařízení, ale na cizích serverech?",Cloud,klaud|do cloudu,Tech a AI,1,evergreen
AZ-016,C,Na koncertě které britské kapely v roce 2025 kamera zabrala objímající se dvojici a rozjela tím celosvětový kiss cam skandál?,Coldplay,kold plej,Hudba,2,sezónní
AZ-017,C,"Jak se říká titulku, který slibuje mnohem víc, než pak článek nebo video nabídne?",Clickbait,klikbajt|click bait,Sítě a appky,1,evergreen
AZ-018,C,"Jak se souhrnně říká vytrvalostnímu tréninku na tep, jako je běh nebo kolo?",Cardio,kardio,Sport,1,evergreen
AZ-019,Č,"Ze které země pochází firma ByteDance, která vlastní TikTok?",Čína,cina|China,Sítě a appky,2,evergreen
AZ-020,Č,Který seriál HBO z roku 2019 o jaderné havárii patří k nejlépe hodnoceným seriálům vůbec?,Černobyl,Chernobyl,Film a seriály,2,evergreen
AZ-021,Č,Jaká dubajská sladkost s pistáciovým krémem a kadaífem ovládla v roce 2024 sítě?,Čokoláda,cokolada|dubajská čokoláda,Jídlo a lifestyle,1,sezónní
AZ-022,Č,"Jak se česky říká optické součásti objektivu i pomůcce, kterou si dáváš do oka místo brýlí?",Čočka,cocka,Všeobecné,2,evergreen
AZ-023,Č,Jak se říká zařízení s e-inkovým displejem určenému na čtení knih?,Čtečka,ctecka|e-čtečka,Tech a AI,2,evergreen
AZ-024,Č,Který hmyz podle populárního mýtu „podle fyziky vůbec nemá umět létat“?,Čmelák,cmelak,Všeobecné,2,evergreen
AZ-025,D,"Jak se říká tomu, když někdo žije v úplných iluzích o svém crushi?",Delulu,deluze|delúlú,Slang,1,evergreen
AZ-026,D,"Jak se říká momentu v elektronické skladbě, kdy po vygradovaném napětí naskočí beat?",Drop,,Hudba,1,evergreen
AZ-027,D,"Na které platformě se lidé potkávají na serverech, v místnostech a hlasových kanálech?",Discord,diskord,Sítě a appky,1,evergreen
AZ-028,D,"Jak se česky jmenuje sci-fi sága o pouštní planetě, koření a obřích písečných červech?",Duna,Dune,Film a seriály,2,evergreen
AZ-029,D,Který neurotransmiter se spojuje s pocitem odměny a je hlavním podezřelým u závislosti na scrollování?,Dopamin,dopamine,Všeobecné,2,evergreen
AZ-030,D,"Jak se říká videu, kde umělá inteligence nasadí cizí obličej nebo hlas na jiného člověka?",Deepfake,dípfejk|deep fake,Tech a AI,2,evergreen
AZ-031,E,"Jak se říká malým obrázkovým znakům, kterými nahrazujeme slova ve zprávách?",Emoji,emodži|emotikony,Sítě a appky,1,evergreen
AZ-032,E,Podle jaké italské kávy pojmenovala Sabrina Carpenter svůj hit z roku 2024?,Espresso,espreso,Hudba,1,sezónní
